Generating new quadtree...
         14063955 function calls (14056976 primitive calls) in 10.199 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 1058/224    0.001    0.000    0.071    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      577    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      259    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
      259    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      577    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      318    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
    352/2    0.000    0.000    0.205    0.103 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     2703    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      244    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      244    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      244    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
      976    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      256    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      449    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:403(cached)
      536    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
      244    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
      244    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      245    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      258    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:634(_load_backward_compatible)
    247/2    0.001    0.000    0.206    0.103 <frozen importlib._bootstrap>:663(_load_unlocked)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:740(create_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(is_package)
      577    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      249    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
      758    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
      758    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:873(_find_spec_legacy)
      254    0.002    0.000    0.020    0.000 <frozen importlib._bootstrap>:882(_find_spec)
    259/2    0.001    0.000    0.206    0.103 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    259/2    0.001    0.000    0.206    0.103 <frozen importlib._bootstrap>:978(_find_and_load)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
       30    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1040(create_module)
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1048(exec_module)
       26    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      574    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      249    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      249    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      216    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
      240    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      483    0.004    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
       26    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
      420    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      239    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      483    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      210    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      118    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
       92    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:499(_validate_hash_pyc)
      446    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      210    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
     2531    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      240    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     2531    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      420    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
    210/2    0.001    0.000    0.206    0.103 <frozen importlib._bootstrap_external>:722(exec_module)
     1038    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      210    0.002    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:793(get_code)
      345    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
      302    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      318    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      210    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
      170    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 __about__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:80(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:81(__init__)
        7    0.000    0.000    0.045    0.006 __init__.py:1(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:10(<module>)
        1    0.000    0.000    0.061    0.061 __init__.py:106(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1070(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1109(ExtractionError)
        1    0.000    0.000    0.000    0.000 __init__.py:1125(ResourceManager)
        1    0.000    0.000    0.000    0.000 __init__.py:1129(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1139(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1145(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1163(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:1169(__init__)
        9    0.000    0.000    0.000    0.000 __init__.py:1175(append)
        1    0.000    0.000    0.000    0.000 __init__.py:120(PEP440Warning)
        1    0.000    0.000    0.000    0.000 __init__.py:1205(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1210(__init__)
       11    0.000    0.000    0.000    0.000 __init__.py:1221(getLogger)
       11    0.000    0.000    0.000    0.000 __init__.py:1272(_fixupParents)
       60    0.000    0.000    0.000    0.000 __init__.py:1317(safe_name)
      110    0.000    0.000    0.003    0.000 __init__.py:1325(safe_version)
        1    0.000    0.000    0.000    0.000 __init__.py:1326(Logger)
       12    0.000    0.000    0.000    0.000 __init__.py:1341(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:137(_declare_state)
        1    0.000    0.000    0.000    0.000 __init__.py:1383(NullProvider)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        1    0.000    0.000    0.075    0.075 __init__.py:14(<listcomp>)
       68    0.000    0.000    0.001    0.000 __init__.py:1406(_get_metadata_path)
       68    0.000    0.000    0.001    0.000 __init__.py:1409(has_metadata)
       42    0.000    0.000    0.002    0.000 __init__.py:1416(get_metadata)
       42    0.000    0.000    0.002    0.000 __init__.py:1422(get_metadata_lines)
      110    0.000    0.000    0.001    0.000 __init__.py:1477(_fn)
      110    0.000    0.000    0.001    0.000 __init__.py:1483(_validate_resource_path)
        2    0.000    0.000    0.207    0.103 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:151(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:1569(EggProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1591(DefaultProvider)
       68    0.000    0.000    0.000    0.000 __init__.py:1594(_has)
        1    0.000    0.000    0.117    0.117 __init__.py:16(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:160(c_short)
       42    0.000    0.000    0.001    0.000 __init__.py:1606(_get)
        1    0.000    0.000    0.000    0.000 __init__.py:1610(_register)
        1    0.000    0.000    0.000    0.000 __init__.py:1621(EmptyProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1634(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:164(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:1641(ZipManifests)
        1    0.000    0.000    0.000    0.000 __init__.py:1667(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1668(MemoizedZipManifests)
        1    0.000    0.000    0.000    0.000 __init__.py:1673(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1684(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:1688(ZipProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ulong)
        1    0.000    0.000    0.001    0.001 __init__.py:177(get_supported_platform)
        1    0.000    0.000    0.000    0.000 __init__.py:181(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:185(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:1863(FileMetadata)
       13    0.000    0.000    0.000    0.000 __init__.py:187(_checkLevel)
        8    0.000    0.000    0.000    0.000 __init__.py:1875(__init__)
       12    0.000    0.000    0.000    0.000 __init__.py:1881(has_metadata)
